"","dead","dvcat","seatbelt","frontal","sex","ageOFocc","yearVeh","airbag","occRole"
"5963","alive","10-24","belted","notfrontal","m",40,1994,"airbag","pass"
"17182","alive","25-39","belted","notfrontal","f",21,1987,"none","driver"
"9312","alive","1-9km/h","belted","notfrontal","f",23,1996,"airbag","driver"
"3339","alive","10-24","belted","frontal","m",18,1985,"none","driver"
"7193","alive","10-24","none","notfrontal","f",26,1987,"none","driver"
"23023","alive","25-39","belted","frontal","f",20,1995,"airbag","driver"
"19428","alive","25-39","none","frontal","m",21,1992,"none","pass"
"13795","alive","55+","none","notfrontal","f",31,2000,"airbag","pass"
"12936","alive","10-24","belted","notfrontal","f",41,1995,"airbag","pass"
"12832","alive","10-24","belted","frontal","f",32,1994,"none","pass"
"11859","alive","10-24","belted","notfrontal","m",62,1998,"airbag","driver"
"18390","alive","25-39","none","notfrontal","m",17,1989,"none","driver"
"3963","alive","10-24","belted","frontal","m",28,1997,"airbag","pass"
"15805","alive","10-24","belted","frontal","m",25,1994,"airbag","driver"
"6753","dead","25-39","belted","notfrontal","f",18,1993,"none","pass"
"2631","alive","55+","none","notfrontal","f",35,1997,"airbag","driver"
"14952","alive","10-24","belted","frontal","m",25,1994,"airbag","driver"
"19566","alive","55+","none","frontal","m",21,1984,"none","pass"
"6385","alive","1-9km/h","belted","notfrontal","f",29,1997,"airbag","driver"
"15543","alive","10-24","belted","frontal","f",38,1996,"airbag","driver"
"15096","alive","10-24","belted","notfrontal","f",21,1992,"none","driver"
"6271","alive","55+","belted","frontal","f",36,1998,"airbag","driver"
"5342","alive","10-24","belted","frontal","f",17,1995,"airbag","driver"
"24129","alive","10-24","belted","frontal","m",25,1999,"airbag","driver"
"13034","alive","25-39","belted","frontal","m",40,1996,"none","driver"
"16849","alive","10-24","belted","frontal","f",35,1995,"airbag","driver"
"5992","alive","10-24","belted","frontal","f",81,1991,"none","driver"
"10336","alive","10-24","belted","frontal","f",37,1992,"none","pass"
"13868","alive","10-24","belted","frontal","f",19,1993,"none","pass"
"682","alive","10-24","belted","frontal","f",16,1994,"none","driver"
"24004","alive","25-39","belted","frontal","f",52,1997,"airbag","driver"
"4510","alive","40-54","none","frontal","m",23,1989,"none","pass"
"15820","alive","10-24","belted","frontal","f",54,2000,"airbag","pass"
"25387","alive","10-24","none","frontal","f",65,1999,"airbag","driver"
"9585","alive","10-24","belted","frontal","m",16,1989,"none","pass"
"21091","alive","25-39","belted","frontal","f",57,1998,"airbag","driver"
"8125","alive","25-39","belted","frontal","m",19,1989,"none","driver"
"10169","alive","25-39","belted","frontal","f",21,1997,"airbag","pass"
"7312","alive","10-24","belted","frontal","m",28,1997,"airbag","driver"
"10849","alive","10-24","none","notfrontal","m",16,1994,"airbag","driver"
"11504","alive","25-39","none","frontal","f",28,1996,"none","pass"
"5193","alive","40-54","none","frontal","m",62,1972,"none","driver"
"4764","alive","10-24","belted","frontal","f",49,1996,"airbag","driver"
"4681","alive","10-24","belted","frontal","f",46,1992,"airbag","driver"
"23593","alive","10-24","belted","frontal","m",23,1989,"none","driver"
"4867","alive","40-54","belted","notfrontal","f",30,1993,"airbag","driver"
"9454","alive","25-39","belted","notfrontal","f",30,1998,"airbag","driver"
"17969","alive","10-24","belted","frontal","f",29,1998,"airbag","driver"
"20805","alive","25-39","belted","frontal","m",48,1986,"none","driver"
"19562","alive","25-39","belted","notfrontal","m",59,1999,"airbag","driver"
"13305","alive","25-39","belted","frontal","f",18,1992,"none","driver"
"7188","alive","25-39","none","frontal","m",41,1981,"none","driver"
"5451","alive","55+","belted","frontal","f",36,1991,"none","driver"
"22200","dead","25-39","belted","notfrontal","m",71,1989,"none","driver"
"16082","alive","10-24","belted","notfrontal","m",24,1993,"none","driver"
"9736","alive","10-24","belted","frontal","f",21,1995,"none","pass"
"22387","alive","10-24","belted","frontal","f",38,1992,"none","driver"
"9415","alive","10-24","belted","notfrontal","f",29,1991,"airbag","pass"
"10099","alive","25-39","belted","notfrontal","m",50,1984,"none","driver"
"25172","alive","10-24","belted","frontal","f",59,1998,"airbag","driver"
"21118","alive","25-39","belted","notfrontal","f",57,1995,"airbag","driver"
"10112","alive","25-39","belted","notfrontal","f",19,1991,"none","driver"
"11051","alive","25-39","belted","notfrontal","m",73,1993,"airbag","driver"
"25538","alive","25-39","belted","frontal","m",23,1989,"none","driver"
"8375","alive","10-24","none","notfrontal","m",24,1994,"airbag","driver"
"23027","alive","10-24","belted","notfrontal","m",48,1984,"none","driver"
"15327","alive","10-24","none","notfrontal","f",82,1998,"airbag","pass"
"22743","alive","10-24","belted","notfrontal","m",51,1992,"none","driver"
"23918","alive","40-54","none","frontal","f",35,1996,"airbag","pass"
"7913","alive","25-39","belted","frontal","m",18,1993,"none","pass"
"20165","alive","1-9km/h","belted","notfrontal","f",19,1998,"airbag","pass"
"22953","alive","1-9km/h","none","notfrontal","m",40,1989,"none","driver"
"16547","alive","10-24","belted","notfrontal","f",16,1987,"none","pass"
"1708","alive","55+","belted","frontal","f",20,1989,"none","driver"
"19902","alive","10-24","belted","frontal","m",39,1999,"airbag","driver"
"807","alive","10-24","belted","notfrontal","m",80,1986,"none","driver"
"21477","alive","10-24","belted","frontal","m",70,2001,"airbag","pass"
"12272","alive","10-24","belted","frontal","f",43,1986,"none","driver"
"12629","alive","10-24","belted","frontal","f",24,1992,"none","driver"
"22282","alive","10-24","belted","frontal","m",32,1991,"airbag","driver"
"12434","alive","10-24","belted","notfrontal","f",18,1999,"airbag","driver"
"3713","alive","10-24","belted","frontal","m",46,1985,"none","driver"
"2129","alive","25-39","belted","notfrontal","m",65,1990,"airbag","driver"
"3549","alive","10-24","belted","frontal","f",36,1995,"airbag","driver"
"11126","alive","25-39","belted","notfrontal","f",16,1991,"none","driver"
"13665","alive","25-39","belted","frontal","f",17,1997,"airbag","driver"
"389","alive","10-24","belted","notfrontal","f",17,1991,"airbag","driver"
"4661","alive","25-39","belted","frontal","f",40,1994,"airbag","driver"
"4326","alive","40-54","belted","frontal","m",69,1997,"airbag","driver"
"11373","alive","25-39","none","frontal","m",39,1996,"none","driver"
"21966","alive","25-39","belted","frontal","f",41,1995,"airbag","driver"
"294","alive","25-39","none","frontal","m",38,1987,"none","driver"
"9206","alive","10-24","belted","frontal","f",26,1996,"airbag","driver"
"19447","alive","10-24","belted","notfrontal","m",36,1987,"none","driver"
"7752","alive","25-39","belted","notfrontal","f",17,1995,"airbag","pass"
"23695","alive","10-24","belted","frontal","m",33,1991,"none","driver"
"8174","alive","25-39","none","notfrontal","m",43,1992,"none","driver"
"14083","alive","25-39","belted","frontal","f",37,1997,"airbag","pass"
"15014","alive","40-54","belted","frontal","f",26,1999,"airbag","driver"
"14626","alive","10-24","belted","notfrontal","m",20,1984,"none","driver"
"9320","alive","40-54","none","notfrontal","f",33,1991,"airbag","pass"
"8962","alive","25-39","none","notfrontal","f",40,1986,"none","pass"
"7119","alive","10-24","none","notfrontal","m",17,1992,"none","pass"
"8090","dead","55+","none","frontal","m",27,1995,"none","driver"
"21497","alive","25-39","belted","frontal","f",29,1999,"airbag","driver"
"20776","alive","10-24","belted","notfrontal","f",18,1997,"airbag","driver"
"6691","alive","25-39","belted","frontal","m",85,1988,"none","driver"
"7285","alive","40-54","belted","frontal","f",24,1996,"airbag","driver"
"22728","alive","10-24","belted","notfrontal","m",21,1992,"none","pass"
"15343","alive","25-39","none","frontal","m",18,1996,"airbag","pass"
"17179","alive","40-54","belted","frontal","m",49,1991,"none","driver"
"17427","alive","10-24","belted","frontal","m",35,1995,"airbag","driver"
"2957","alive","10-24","belted","frontal","f",23,1988,"none","driver"
"25061","alive","10-24","belted","notfrontal","f",41,1993,"none","driver"
"21933","alive","25-39","belted","notfrontal","f",51,1994,"airbag","driver"
"6886","alive","25-39","belted","notfrontal","m",25,1983,"none","driver"
"14317","alive","40-54","belted","frontal","m",29,1998,"airbag","pass"
"20611","alive","10-24","belted","notfrontal","m",18,1991,"airbag","driver"
"3583","alive","10-24","belted","frontal","m",29,1996,"airbag","driver"
"12215","dead","40-54","none","notfrontal","f",32,1998,"airbag","driver"
"3590","alive","10-24","belted","frontal","m",21,1969,"none","pass"
"4371","alive","25-39","belted","notfrontal","f",48,1995,"airbag","driver"
"8541","alive","10-24","belted","frontal","m",34,1998,"airbag","driver"
"11122","alive","10-24","none","notfrontal","m",41,1987,"none","pass"
"23904","alive","10-24","belted","notfrontal","f",64,2002,"airbag","driver"
"25031","alive","10-24","belted","notfrontal","m",47,1991,"none","pass"
"16012","alive","10-24","belted","notfrontal","f",63,1998,"airbag","driver"
"22923","alive","10-24","none","frontal","m",44,1994,"airbag","driver"
"22204","alive","10-24","none","frontal","m",31,2000,"airbag","driver"
"25815","alive","10-24","belted","frontal","f",30,1988,"none","driver"
"8272","alive","40-54","belted","frontal","m",21,1991,"none","driver"
"9177","alive","10-24","belted","notfrontal","m",32,1993,"none","driver"
"17107","alive","25-39","belted","frontal","m",24,1995,"none","pass"
"7139","alive","10-24","none","frontal","f",23,1990,"none","pass"
"5909","alive","25-39","belted","notfrontal","m",65,1984,"none","driver"
"6194","alive","25-39","belted","frontal","m",19,1989,"none","driver"
"12253","alive","10-24","belted","frontal","m",21,1997,"airbag","driver"
"22494","alive","1-9km/h","belted","notfrontal","m",19,1999,"airbag","pass"
"4062","alive","10-24","belted","notfrontal","f",40,1997,"airbag","driver"
"7820","alive","10-24","none","frontal","m",26,1995,"airbag","driver"
"2200","alive","10-24","belted","frontal","f",17,1993,"airbag","driver"
"14944","alive","10-24","belted","frontal","m",65,1989,"none","driver"
"13141","alive","25-39","belted","frontal","f",38,1991,"none","driver"
"25495","alive","10-24","belted","notfrontal","f",43,1999,"airbag","driver"
"6950","alive","40-54","belted","notfrontal","m",75,1988,"none","driver"
"16721","alive","55+","belted","frontal","m",54,1994,"airbag","driver"
"22004","alive","10-24","belted","frontal","f",23,1997,"airbag","driver"
"19305","alive","10-24","belted","notfrontal","m",46,1994,"airbag","driver"
"22579","alive","25-39","belted","frontal","m",42,1999,"airbag","driver"
"3619","alive","10-24","belted","notfrontal","m",20,1996,"airbag","driver"
"25941","alive","10-24","belted","frontal","f",64,1991,"airbag","driver"
"7317","alive","25-39","none","frontal","f",20,1986,"none","pass"
"23628","alive","25-39","belted","frontal","f",22,2000,"airbag","driver"
"3645","alive","40-54","belted","frontal","m",29,1995,"airbag","pass"
"13697","alive","10-24","belted","frontal","f",26,1999,"airbag","driver"
"10766","alive","40-54","none","frontal","m",38,1983,"none","driver"
"4892","alive","10-24","belted","frontal","f",72,1997,"airbag","driver"
"19593","alive","10-24","belted","notfrontal","f",41,1987,"none","pass"
"6841","dead","25-39","none","notfrontal","m",19,1982,"none","driver"
"4551","alive","25-39","belted","notfrontal","m",73,1993,"airbag","driver"
"23617","alive","10-24","belted","notfrontal","f",28,2002,"airbag","driver"
"25106","alive","25-39","belted","frontal","f",25,2002,"airbag","driver"
"18064","alive","25-39","belted","frontal","f",43,1993,"none","driver"
"21113","alive","10-24","belted","frontal","m",52,1994,"airbag","driver"
"22583","alive","25-39","belted","notfrontal","f",54,1996,"airbag","driver"
"20902","alive","10-24","belted","notfrontal","m",21,1990,"none","driver"
"4889","alive","25-39","belted","frontal","f",35,1994,"none","driver"
"20807","alive","10-24","belted","frontal","f",24,1998,"airbag","driver"
"17224","alive","25-39","belted","frontal","f",39,1987,"none","pass"
"20550","alive","10-24","belted","frontal","m",21,1999,"airbag","driver"
"9612","alive","10-24","belted","frontal","m",26,1988,"none","driver"
"25863","alive","55+","none","frontal","m",21,2001,"airbag","pass"
"24506","alive","55+","belted","frontal","m",37,2000,"airbag","driver"
"7161","alive","25-39","none","notfrontal","f",28,1996,"airbag","driver"
"25985","alive","10-24","belted","notfrontal","m",46,1986,"none","driver"
"11891","alive","25-39","belted","frontal","m",22,1986,"none","driver"
"6703","alive","25-39","belted","frontal","m",23,1982,"none","driver"
"9853","alive","25-39","belted","frontal","m",19,1988,"none","driver"
"22984","alive","10-24","belted","frontal","m",59,1997,"airbag","driver"
"3196","alive","10-24","belted","frontal","f",84,1986,"none","driver"
"22963","alive","25-39","belted","notfrontal","f",21,1989,"none","pass"
"18771","alive","10-24","belted","notfrontal","f",64,2000,"airbag","driver"
"15536","alive","25-39","none","frontal","f",19,1999,"airbag","pass"
"18607","alive","25-39","belted","frontal","m",45,1994,"none","driver"
"11315","alive","10-24","none","notfrontal","f",43,1999,"airbag","driver"
"2438","alive","10-24","belted","frontal","f",45,1983,"none","driver"
"1742","alive","10-24","belted","notfrontal","m",24,1994,"none","driver"
"1100","alive","25-39","none","frontal","m",27,1997,"airbag","driver"
"13462","alive","25-39","belted","frontal","f",74,1998,"airbag","driver"
"25590","alive","10-24","belted","notfrontal","f",44,2000,"airbag","driver"
"7444","alive","10-24","none","frontal","m",17,1993,"airbag","driver"
"20793","alive","40-54","none","frontal","m",26,1993,"none","driver"
"16591","alive","25-39","belted","frontal","m",17,1997,"airbag","pass"
"17899","alive","10-24","belted","frontal","f",19,1986,"none","driver"
"21921","alive","10-24","belted","frontal","m",38,2002,"airbag","driver"
"20736","alive","10-24","belted","notfrontal","m",19,1991,"none","driver"
"23372","alive","10-24","none","frontal","f",25,2000,"airbag","driver"
"9319","alive","40-54","belted","notfrontal","m",34,1991,"airbag","driver"
"22488","alive","10-24","belted","frontal","f",30,2001,"airbag","driver"
"6106","alive","10-24","belted","notfrontal","m",54,1997,"airbag","driver"
"12854","alive","10-24","none","frontal","m",26,1979,"none","driver"
"15084","alive","10-24","belted","frontal","m",44,1994,"airbag","driver"
"19212","alive","10-24","belted","frontal","m",65,1997,"airbag","pass"
"6494","alive","25-39","belted","frontal","m",38,1999,"airbag","driver"
"1493","alive","10-24","belted","notfrontal","f",18,1984,"none","driver"
"7115","alive","25-39","none","frontal","m",26,1983,"none","pass"
"17232","alive","10-24","belted","notfrontal","m",46,1992,"none","driver"
"20675","alive","10-24","belted","notfrontal","m",37,1991,"none","driver"
"25907","alive","40-54","none","notfrontal","f",81,1995,"airbag","driver"
"6230","alive","10-24","belted","frontal","m",17,1996,"airbag","driver"
"7054","alive","25-39","belted","frontal","m",40,1998,"airbag","driver"
"25564","alive","25-39","none","frontal","m",27,2000,"airbag","driver"
"4258","alive","1-9km/h","belted","notfrontal","f",48,1991,"none","pass"
"1033","alive","10-24","belted","frontal","m",16,1989,"none","pass"
"9465","dead","25-39","belted","frontal","m",59,1991,"none","driver"
"7488","alive","10-24","none","frontal","f",34,1987,"none","driver"
"23338","alive","10-24","none","frontal","m",47,1997,"airbag","driver"
"6319","alive","40-54","belted","frontal","f",43,1990,"none","driver"
"9120","alive","10-24","none","frontal","f",39,1998,"airbag","pass"
"12245","alive","10-24","belted","frontal","f",33,1992,"none","pass"
"8156","alive","10-24","belted","frontal","f",35,1989,"none","driver"
"17170","alive","55+","none","frontal","f",27,1989,"none","pass"
"24225","alive","10-24","belted","frontal","m",21,1994,"airbag","driver"
"1340","alive","40-54","belted","notfrontal","f",32,1984,"none","driver"
"2121","alive","25-39","belted","frontal","f",71,1987,"none","driver"
"21496","alive","25-39","belted","frontal","f",19,1988,"none","driver"
"18798","alive","25-39","belted","frontal","f",19,1992,"none","driver"
"20202","alive","1-9km/h","belted","notfrontal","f",45,1998,"airbag","pass"
"14377","alive","10-24","belted","frontal","f",52,2000,"airbag","driver"
"10428","alive","10-24","belted","notfrontal","f",48,1997,"airbag","driver"
"15641","alive","1-9km/h","belted","notfrontal","f",28,2000,"airbag","driver"
"18634","alive","25-39","belted","frontal","m",51,1994,"none","driver"
"14781","alive","25-39","belted","notfrontal","f",45,1992,"none","driver"
"9209","alive","10-24","none","notfrontal","m",20,1998,"airbag","driver"
"943","alive","25-39","belted","notfrontal","f",25,1997,"airbag","driver"
"13156","alive","55+","belted","frontal","m",87,1988,"none","driver"
"24306","alive","25-39","belted","notfrontal","m",43,2003,"airbag","driver"
"24839","alive","10-24","belted","notfrontal","f",55,2000,"airbag","driver"
"12860","alive","25-39","none","frontal","m",27,1968,"none","driver"
"25959","alive","10-24","belted","frontal","f",27,2001,"airbag","pass"
"21","alive","10-24","none","frontal","f",20,1995,"airbag","driver"
"24043","alive","25-39","belted","notfrontal","m",18,1997,"airbag","driver"
"8262","alive","25-39","none","frontal","f",45,1996,"airbag","driver"
"1570","alive","25-39","belted","frontal","m",85,1994,"airbag","driver"
"593","alive","10-24","belted","notfrontal","f",28,1989,"none","driver"
"5748","alive","40-54","none","frontal","f",26,1994,"none","driver"
"554","alive","10-24","none","frontal","m",28,1994,"airbag","driver"
"12325","alive","10-24","belted","frontal","f",82,1995,"airbag","pass"
"24585","dead","40-54","belted","notfrontal","m",20,1992,"airbag","driver"
"10470","alive","25-39","belted","frontal","f",22,1997,"airbag","driver"
"15256","alive","10-24","belted","frontal","m",17,1995,"airbag","driver"
"6959","alive","10-24","belted","frontal","f",33,1989,"airbag","driver"
"17778","alive","25-39","belted","frontal","m",16,2000,"airbag","pass"
"1929","alive","25-39","belted","frontal","m",97,1981,"none","driver"
"19959","alive","25-39","none","notfrontal","m",38,1981,"none","driver"
"15798","alive","55+","belted","frontal","m",18,1983,"none","driver"
"25773","alive","25-39","belted","notfrontal","m",21,1995,"airbag","driver"
"3892","alive","10-24","belted","frontal","f",77,1987,"none","driver"
"12400","alive","25-39","belted","frontal","f",78,1992,"none","driver"
"9686","alive","25-39","belted","notfrontal","m",19,1985,"none","driver"
"5008","dead","40-54","none","frontal","m",42,1991,"airbag","driver"
"219","alive","25-39","belted","notfrontal","f",17,1989,"none","driver"
"20782","alive","10-24","belted","notfrontal","f",26,1989,"none","driver"
"3596","dead","55+","belted","notfrontal","f",76,1985,"none","driver"
"16353","alive","25-39","belted","notfrontal","m",25,1994,"airbag","driver"
"18019","alive","10-24","belted","frontal","m",20,1994,"airbag","pass"
"9752","alive","55+","none","frontal","m",32,1986,"none","driver"
"23965","alive","10-24","none","notfrontal","m",30,1994,"airbag","driver"
"22299","alive","25-39","belted","frontal","m",22,1999,"airbag","driver"
"23590","alive","10-24","belted","frontal","f",21,1994,"airbag","driver"
"8463","alive","40-54","none","frontal","m",42,1985,"none","driver"
"20422","alive","55+","none","frontal","m",20,1993,"airbag","driver"
"14832","alive","25-39","none","frontal","m",79,1986,"none","driver"
"24529","alive","40-54","none","frontal","m",68,1998,"airbag","driver"
"2951","alive","25-39","none","frontal","m",78,1985,"none","driver"
"7599","alive","10-24","belted","frontal","f",52,1994,"airbag","driver"
"5041","alive","10-24","belted","notfrontal","m",30,1995,"airbag","driver"
"2629","alive","25-39","none","notfrontal","f",61,1996,"none","pass"
"24484","alive","10-24","none","notfrontal","m",22,1997,"airbag","pass"
"6704","alive","25-39","belted","frontal","m",34,1982,"none","pass"
"20049","alive","40-54","belted","notfrontal","m",55,1990,"none","driver"
"23981","alive","40-54","none","frontal","f",50,1988,"none","driver"
"7060","alive","40-54","belted","frontal","m",29,1998,"airbag","driver"
"22510","alive","10-24","belted","frontal","m",70,2001,"airbag","driver"
"9462","alive","25-39","none","frontal","f",49,1988,"none","pass"
"8720","alive","25-39","belted","frontal","f",32,1997,"airbag","driver"
"12452","alive","25-39","belted","frontal","m",43,1989,"none","driver"
"1673","alive","55+","belted","frontal","f",35,1997,"airbag","pass"
"23430","alive","10-24","none","notfrontal","m",26,1992,"none","pass"
"1671","alive","1-9km/h","belted","notfrontal","f",44,1994,"none","driver"
"8193","alive","10-24","belted","notfrontal","m",60,1994,"none","driver"
"2209","alive","55+","belted","frontal","m",33,1995,"airbag","driver"
"2788","alive","55+","belted","frontal","m",34,1997,"airbag","driver"
"2014","alive","25-39","belted","notfrontal","f",67,1992,"none","pass"
"20944","alive","25-39","none","frontal","f",71,1999,"airbag","driver"
"2090","alive","25-39","belted","frontal","f",20,1996,"airbag","driver"
"24391","alive","40-54","none","frontal","m",20,2000,"airbag","driver"
"9843","alive","25-39","none","notfrontal","f",36,1993,"airbag","driver"
"6353","alive","25-39","belted","notfrontal","m",25,1982,"none","driver"
"16189","alive","40-54","belted","notfrontal","f",50,1993,"airbag","driver"
"8547","alive","25-39","belted","notfrontal","f",26,1993,"none","driver"
"4602","alive","10-24","belted","frontal","f",50,1992,"airbag","driver"
"7838","alive","25-39","belted","frontal","m",16,1985,"none","driver"
"9531","alive","25-39","belted","notfrontal","m",42,1995,"airbag","driver"
"11903","alive","25-39","belted","frontal","f",25,1980,"none","driver"
"753","alive","10-24","none","frontal","f",18,1991,"none","pass"
"18704","alive","25-39","belted","notfrontal","f",22,1992,"airbag","driver"
"2036","alive","25-39","belted","frontal","m",30,1985,"none","driver"
"14959","alive","10-24","belted","frontal","m",57,1995,"airbag","driver"
"18657","alive","25-39","belted","frontal","m",19,1994,"none","pass"
"2081","alive","10-24","belted","frontal","f",28,1988,"none","driver"
"6818","alive","25-39","belted","notfrontal","f",51,1993,"airbag","driver"
"13505","alive","25-39","belted","frontal","f",70,1994,"airbag","driver"
"25519","alive","10-24","belted","frontal","m",38,1995,"airbag","driver"
"10751","alive","25-39","belted","frontal","f",34,1998,"airbag","driver"
"12920","alive","10-24","none","frontal","m",82,1994,"none","driver"
"11764","alive","10-24","none","frontal","m",18,1985,"none","driver"
"11969","alive","25-39","none","frontal","m",30,1999,"airbag","driver"
"20739","alive","55+","belted","frontal","m",34,1993,"none","driver"
"22820","alive","10-24","belted","frontal","m",37,1998,"airbag","driver"
"19935","alive","10-24","none","notfrontal","m",23,1998,"airbag","pass"
"9991","alive","25-39","belted","frontal","m",36,1989,"none","driver"
"2937","alive","10-24","belted","notfrontal","f",87,1991,"none","pass"
"17762","alive","25-39","belted","notfrontal","m",51,1999,"airbag","driver"
"1445","alive","10-24","belted","frontal","f",16,1988,"none","driver"
"10672","dead","10-24","none","notfrontal","m",84,1991,"airbag","pass"
"7615","alive","1-9km/h","belted","notfrontal","m",42,1991,"none","driver"
"14383","alive","25-39","belted","frontal","f",32,1998,"airbag","pass"
"14170","alive","25-39","belted","frontal","f",16,1996,"airbag","driver"
"439","alive","25-39","belted","frontal","m",22,1984,"none","pass"
"7684","alive","40-54","none","frontal","m",29,1984,"none","driver"
"5830","alive","10-24","belted","frontal","f",42,1985,"none","driver"
"475","alive","25-39","none","frontal","m",41,1993,"none","driver"
"21439","alive","25-39","belted","frontal","f",68,1994,"airbag","driver"
"21438","alive","10-24","belted","notfrontal","f",33,1985,"none","pass"
"6018","alive","25-39","belted","frontal","m",43,1981,"none","driver"
"11463","alive","40-54","belted","frontal","m",38,1997,"airbag","driver"
"2112","alive","10-24","belted","notfrontal","f",16,1988,"none","driver"
"4980","alive","10-24","belted","frontal","m",22,1997,"airbag","driver"
"17097","alive","25-39","none","notfrontal","m",30,1986,"none","driver"
"18419","alive","25-39","belted","notfrontal","m",51,1993,"none","driver"
"13302","alive","25-39","belted","notfrontal","m",80,1980,"none","driver"
"23994","alive","10-24","belted","frontal","m",42,1986,"none","driver"
"19705","alive","25-39","belted","frontal","f",40,1990,"none","driver"
"8124","alive","40-54","none","frontal","m",33,1983,"none","driver"
"8393","alive","10-24","belted","notfrontal","f",35,1990,"airbag","driver"
"22389","alive","25-39","belted","notfrontal","m",35,1996,"airbag","driver"
"9233","alive","10-24","none","notfrontal","f",17,1990,"none","driver"
"19548","alive","10-24","belted","frontal","f",35,2002,"airbag","driver"
"22518","alive","25-39","belted","notfrontal","m",16,1998,"airbag","driver"
"10757","alive","10-24","belted","frontal","m",40,1993,"none","driver"
"22469","alive","40-54","belted","notfrontal","f",33,1992,"none","driver"
